"group","role","name","grade"
1,"leader","6615cc6c8c7912dbedc4a7a34a1ef30c",79
1,"number","019ba56b8d3607d60f2874496061643a",95
1,"number","4c18826f2d9fe9109c55a8c98fcd8b15",81
1,"number","ba282a65bf882e5230af6c5d371ea2f0",79
1,"number","c4bef7c9914dd2f984389922335b4fdc",86
1,"number","d09c322f37e06e18ba37f385d64e6c3b",81
1,"number","3f7c71dfbc00799d461285593e02023a",85
1,"number","1b9de69574bc33486eb6bf921a93a99e",91
2,"leader","735ff5379fdedfc92a86ab6db937a6e5",76
2,"number","cfe087466143f41c0e13d034f7e21844",77
2,"number","887e9005ea3a0659e102c79d4a4a8b61",80
2,"number","38272a432bda483a9300d71537cb3ed7",83
2,"number","a7bc56dc9e291cbe61c33c316502d810",86
2,"number","79de3f6116c7fa758d2cde4177975a2f",82
2,"number","0136febc401c3582866cce1fdb9a78b6",84
2,"number","cb5481b0de8fded910f1beddf0f20d3f",81
3,"leader","dfa49954e5922b12852fca654fe1ac3c",85
3,"number","fc7f99d55d878ca031801fe3f13ca486",76
3,"number","7ccebc8fd7bf74273f015efd70f44124",82
3,"number","d26a5bb363bd3da5e6598f8511a8ac5f",68
3,"number","4e9bc071e4b19ce6ff71910f76433f08",98
3,"number","f0cdadaeabb6e374897e637f8acb6740",85
3,"number","54044e9e669cedb74a3ac15d9d274852",80
3,"number","cf5ada7e3c3b2545e01748d5e827b13d",85
3,"number","9250eec000069b995081568711583544",92
4,"leader","56120c0a627bd6803d5f9ed1fdf6f207",90
4,"number","05c16da3aa2170cf2b8112eb6d0f8611",88
4,"number","a830aadc6b2921d64e69554a657c9180",86
4,"number","c3733d7259bdcbac45a41794efd5a539",80
4,"number","d4f29fed869c5f8c6fa6a4d4b095453b",82
4,"number","0079422d456ed02b661ad8ffc25109a9",85
4,"number","869d2ffbdb2e0d8ff9e0a7f023d026e7",86
4,"number","76a682ac3acd284444692dc4cddad340",76
4,"number","29b993752939b335d22c98cd5049cbcf",72
5,"leader","9f58584709fce291e31127f5bb2e12ef",81
5,"number","a00459d7c0bec5988a179c053a955f33",87
5,"number","f7acf799cd9d082594a64e6c8f23b17c",73
5,"number","37d17eeb8af85fa34022a9c024ded56d",89
5,"number","8915a55f6bc5f06371618d62e96c1bb6",70
5,"number","731d076707f88befe3534f34cce39b4b",88
5,"number","457fce12bda6654c55703be1f3ff6109",87
