# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "genome/annotation.gtf" "-o" "counts/counts.txt" "alignments/control_1.bam" "alignments/control_2.bam" "alignments/control_3.bam" "alignments/treated_1.bam" "alignments/treated_2.bam" "alignments/treated_3.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/control_1.bam	alignments/control_2.bam	alignments/control_3.bam	alignments/treated_1.bam	alignments/treated_2.bam	alignments/treated_3.bam
b0001	chr1	274	854	+	581	10	10	10	10	10	10
b0002	chr1	1012	1972	+	961	17	17	17	17	17	17
b0003	chr1	2128	3000	+	873	21	21	21	21	21	21
b0004	chr1	3048	3972	-	925	30	30	30	30	30	30
b0005	chr1	4065	4978	+	914	16	16	16	16	16	16
b0006	chr1	5058	6000	+	943	36	36	36	36	36	36
b0007	chr1	6109	6679	+	571	12	12	12	12	12	12
b0008	chr1	7015	7822	-	808	16	16	16	16	16	16
b0009	chr1	8058	8979	+	922	27	27	27	27	27	27
b0010	chr1	9051	9895	+	845	22	22	22	22	22	22
b0011	chr1	10123	11000	+	878	16	16	16	16	16	16
b0012	chr1	11018	11882	+	865	14	14	14	14	14	14
b0013	chr1	12137	12989	+	853	10	10	10	10	10	10
b0014	chr1	13018	13600	-	583	13	13	13	13	13	13
b0015	chr1	14136	15000	-	865	19	19	19	19	19	19
b0016	chr1	15120	16000	+	881	13	13	13	13	13	13
b0017	chr1	16035	16812	+	778	7	7	7	7	7	7
b0018	chr1	17030	18000	-	971	17	17	17	17	17	17
b0019	chr1	18304	19000	+	697	17	17	17	17	17	17
b0020	chr1	19118	20000	+	883	25	25	25	25	25	25
b0021	chr1	20217	21000	+	784	16	16	16	16	16	16
b0022	chr1	21340	21861	+	522	10	10	10	10	10	10
b0023	chr1	22023	23000	+	978	38	38	38	38	38	38
b0024	chr1	23150	23920	+	771	14	14	14	14	14	14
b0025	chr1	24010	25000	-	991	23	23	23	23	23	23
b0026	chr1	25106	26000	+	895	15	15	15	15	15	15
b0027	chr1	26113	26786	+	674	19	19	19	19	19	19
b0028	chr1	27149	27882	-	734	10	10	10	10	10	10
b0029	chr1	28254	28939	+	686	13	13	13	13	13	13
b0030	chr1	29008	29997	-	990	22	22	22	22	22	22
b0031	chr1	30047	31000	-	954	18	18	18	18	18	18
b0032	chr1	31008	31970	-	963	14	14	14	14	14	14
b0033	chr1	32173	32761	-	589	11	11	11	11	11	11
b0034	chr1	33072	33973	+	902	17	17	17	17	17	17
b0035	chr1	34003	34920	-	918	15	15	15	15	15	15
b0036	chr1	35029	35959	+	931	32	32	32	32	32	32
b0037	chr1	36024	36789	+	766	13	13	13	13	13	13
b0038	chr1	37070	37962	-	893	18	18	18	18	18	18
b0039	chr1	38065	39000	-	936	16	16	16	16	16	16
b0040	chr1	39003	39999	-	997	22	22	22	22	22	22
b0041	chr1	40407	40964	+	558	23	23	23	23	23	23
b0042	chr1	41060	42000	+	941	19	19	19	19	19	19
b0043	chr1	42073	43000	-	928	19	19	19	19	19	19
b0044	chr1	43078	43765	+	688	12	12	12	12	12	12
b0045	chr1	44224	45000	-	777	14	14	14	14	14	14
b0046	chr1	45211	45913	-	703	20	20	20	20	20	20
b0047	chr1	46080	47000	+	921	17	17	17	17	17	17
b0048	chr1	47432	47972	+	541	19	19	19	19	19	19
b0049	chr1	48101	49000	+	900	23	23	23	23	23	23
b0050	chr1	49009	50000	-	992	19	19	19	19	19	19
b0051	chr1	50098	51000	+	903	14	14	14	14	14	14
b0052	chr1	51098	51968	+	871	16	16	16	16	16	16
b0053	chr1	52030	53000	-	971	32	32	32	32	32	32
b0054	chr1	53161	54000	-	840	12	12	12	12	12	12
b0055	chr1	54010	54941	+	932	18	18	18	18	18	18
b0056	chr1	55121	56000	-	880	18	18	18	18	18	18
b0057	chr1	56121	56766	-	646	16	16	16	16	16	16
b0058	chr1	57094	58000	+	907	16	16	16	16	16	16
b0059	chr1	58163	58788	+	626	16	16	16	16	16	16
b0060	chr1	59132	60000	-	869	21	21	21	21	21	21
b0061	chr1	60171	61000	-	830	13	13	13	13	13	13
b0062	chr1	61012	61964	+	953	14	14	14	14	14	14
b0063	chr1	62134	63000	+	867	25	25	25	25	25	25
b0064	chr1	63170	63857	-	688	14	14	14	14	14	14
b0065	chr1	64017	65000	-	984	19	19	19	19	19	19
b0066	chr1	65052	66000	-	949	5	5	5	5	5	5
b0067	chr1	66082	66849	+	768	16	16	16	16	16	16
b0068	chr1	67292	67925	+	634	12	12	12	12	12	12
b0069	chr1	68135	69000	-	866	12	12	12	12	12	12
b0070	chr1	69058	70000	+	943	28	28	28	28	28	28
b0071	chr1	70289	70832	+	544	12	12	12	12	12	12
b0072	chr1	71097	72000	+	904	19	19	19	19	19	19
b0073	chr1	72174	72790	+	617	13	13	13	13	13	13
b0074	chr1	73005	73999	+	995	24	24	24	24	24	24
b0075	chr1	74019	75000	+	982	13	13	13	13	13	13
b0076	chr1	75144	75752	-	609	18	18	18	18	18	18
b0077	chr1	76428	77000	-	573	12	12	12	12	12	12
b0078	chr1	77034	77608	-	575	14	14	14	14	14	14
b0079	chr1	78003	79000	-	998	20	20	20	20	20	20
b0080	chr1	79053	79609	-	557	14	14	14	14	14	14
b0081	chr1	80180	81000	+	821	19	19	19	19	19	19
b0082	chr1	81266	81930	-	665	13	13	13	13	13	13
b0083	chr1	82188	82967	-	780	24	24	24	24	24	24
b0084	chr1	83073	83828	-	756	22	22	22	22	22	22
b0085	chr1	84073	84996	+	924	18	18	18	18	18	18
b0086	chr1	85023	86000	-	978	19	19	19	19	19	19
b0087	chr1	86021	86964	-	944	21	21	21	21	21	21
b0088	chr1	87183	87878	-	696	10	10	10	10	10	10
b0089	chr1	88424	89000	+	577	17	17	17	17	17	17
b0090	chr1	89034	89588	+	555	14	14	14	14	14	14
b0091	chr1	90109	90657	-	549	10	10	10	10	10	10
b0092	chr1	91032	91970	+	939	16	16	16	16	16	16
b0093	chr1	92011	92967	-	957	19	19	19	19	19	19
b0094	chr1	93152	93944	-	793	24	24	24	24	24	24
b0095	chr1	94226	95000	-	775	31	31	31	31	31	31
b0096	chr1	95006	96000	-	995	14	14	14	14	14	14
b0097	chr1	96212	96711	+	500	18	18	18	18	18	18
b0098	chr1	97211	98000	+	790	6	6	6	6	6	6
b0099	chr1	98206	98973	-	768	15	15	15	15	15	15
b0100	chr1	99164	99851	+	688	14	14	14	14	14	14
